 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
53,48396,1,1,45,77,45,45,45,0,77,77,77,0,2520.869493,41.3257294,48396,0,48396,48396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,20.6628647,20.6628647,45,77,55.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,83.5,45,77,32,0,0,0,0,0,0,1,45,1,77,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,24002,2,2,62,228,31,31,31,0,114,114,114,0,12082.32647,166.6527789,8000.666667,13812.54536,23950,4,4,4,0,4,4,48,48,0,48,48,0,0,0,0,80,64,83.32638947,83.32638947,31,114,64.2,45.46097227,2066.7,0,0,0,0,0,0,0,0,1,80.25,31,114,80,0,0,0,0,0,0,2,62,2,228,-1,-1,1,40,0,0,0,0,0,0,0,0,BENIGN
1029,45,1,1,2,6,2,2,2,0,6,6,6,0,177777.7778,44444.44444,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,22222.22222,22222.22222,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
2557,43,1,1,0,6,0,0,0,0,6,6,6,0,139534.8837,46511.62791,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
8080,67230,4,3,207,134,195,0,51.75,95.54187564,128,0,44.66666667,72.23111056,5072.140414,104.1201844,11205,26550.52048,65399,75,67230,22410,38176.68764,66492,163,66019,33009.5,45805.67018,65399,620,0,0,0,0,92,72,59.49724825,44.62293619,0,195,42.625,75.57576615,5711.696429,0,0,0,1,0,0,0,0,0,48.71428571,51.75,44.66666667,92,0,0,0,0,0,0,4,207,3,134,8192,237,3,20,0,0,0,0,0,0,0,0,Bot
80,68128,3,5,26,11607,20,0,8.666666667,10.26320288,8675,0,2321.4,3769.536019,170752.1137,117.4260216,9732.571429,25145.37271,66754,4,1057,528.5,470.2260095,861,196,68046,17011.5,33165.14738,66754,4,0,0,0,0,72,112,44.0347581,73.3912635,0,8675,1292.555556,2931.429562,8593279.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
37634,0,2,0,14,0,14,0,7,9.899494937,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,227,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
53,48798,1,1,54,128,54,54,54,0,128,128,128,0,3729.661052,40.98528628,48798,0,48798,48798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,20.49264314,20.49264314,54,128,78.66666667,42.72391992,1825.333333,0,0,0,0,0,0,0,0,1,118,54,128,32,0,0,0,0,0,0,1,54,1,128,-1,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
21,0,2,0,14,0,14,0,7,9.899494937,0,0,0,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,64,0,0,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,FTP-Patator
80,78,1,1,0,0,0,0,0,0,0,0,0,0,0,25641.02564,78,0,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,12820.51282,12820.51282,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,260,236,0,32,0,0,0,0,0,0,0,0,Web Attack � Sql Injection
80,51419,3,6,26,11601,20,0,8.666666667,10.26320288,2920,0,1933.5,1495.722401,226122.6395,175.0325755,6427.375,13404.75438,37692,9,13006,6503,9183.902874,12997,9,51361,10272.2,16302.32975,37692,64,0,0,0,0,72,132,58.34419184,116.6883837,0,2920,1162.7,1494.366611,2233131.567,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,98438948,8,4,56,11601,20,0,7,5.656854249,8760,0,2900.25,4128.319301,118.4185755,0.121902969,8948995.273,29400000,97600000,0,97800000,14000000,36900000,97600000,3,635707,211902.3333,346237.0463,611465,190,0,0,0,0,172,92,0.081268646,0.040634323,0,8760,897.1538462,2488.507044,6192667.308,0,0,0,0,1,0,0,0,0,971.9166667,7,2900.25,172,0,0,0,0,0,0,8,56,4,11601,256,229,6,20,170265,0,170265,170265,97600000,0,97600000,97600000,DDoS
8089,96,1,1,2,6,2,2,2,0,6,6,6,0,83333.33333,20833.33333,96,0,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,10416.66667,10416.66667,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
21,206,2,1,14,0,14,0,7,9.899494937,0,0,0,0,67961.16505,14563.1068,103,69.29646456,152,54,206,206,0,206,206,0,0,0,0,0,1,0,0,0,64,20,9708.737864,4854.368932,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
53,173,2,2,88,120,44,44,44,0,60,60,60,0,1202312.139,23121.38728,57.66666667,93.82075108,166,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,11560.69364,11560.69364,44,60,50.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,63,44,60,40,0,0,0,0,0,0,2,88,2,120,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
52724,30,1,1,6,6,6,6,6,0,6,6,6,0,400000,66666.66667,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,33333.33333,33333.33333,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,237,256,0,20,0,0,0,0,0,0,0,0,Bot
52936,9011914,1,6,6,36,6,6,6,0,6,6,6,0,4.660497204,0.776749534,1501985.667,3660195.282,8973305,0,0,0,0,0,0,8991924,1798384.8,4010909.315,8973305,0,0,0,0,0,20,120,0.110964219,0.665785315,6,6,6,0,0,0,0,0,0,1,1,0,0,6,6.857142857,6,6,20,0,0,0,0,0,0,1,6,6,36,229,0,0,20,38609,0,38609,38609,8973305,0,8973305,8973305,BENIGN
80,81171690,8,6,56,11607,20,0,7,5.656854249,5840,0,1934.5,2538.919278,143.6830994,0.172473925,6243976.154,21100000,76300000,3,80500000,11500000,28600000,76300000,4,695788,139157.6,310617.1416,694806,3,0,0,0,0,172,132,0.098556529,0.073917397,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,4143899,0,4143899,4143899,76300000,0,76300000,76300000,DDoS
22,74,1,1,0,0,0,0,0,0,0,0,0,0,0,27027.02703,74,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13513.51351,13513.51351,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
52911,1,2,0,54,0,27,27,27,0,0,0,0,0,54000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,27,27,27,0,0,0,0,0,0,0,0,0,0,0,40.5,27,0,40,0,0,0,0,0,0,2,54,0,0,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,4452929,5,1,123,46,46,0,24.6,23.27659769,46,46,46,0,37.95254764,1.347427727,890585.8,1959530.989,4395708,18,4452929,1113232.25,2188425.941,4395708,18,0,0,0,0,0,1,0,0,0,160,32,1.122856439,0.224571288,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,0,35.83333333,24.6,46,160,0,0,0,0,0,0,5,123,1,46,354,187,2,32,0,0,0,0,0,0,0,0,BENIGN
123,63021100,2,2,96,96,48,48,48,0,48,48,48,0,3.046598679,0.063470806,21000000,36300000,63000000,23266,63000000,63000000,0,63000000,63000000,63000000,63000000,0,63000000,63000000,0,0,0,0,40,52,0.031735403,0.031735403,48,48,48,0,0,0,0,0,0,0,0,0,0,1,60,48,48,40,0,0,0,0,0,0,2,96,2,96,-1,-1,1,20,23266,0,23266,23266,63000000,0,63000000,63000000,BENIGN
80,0,1,1,6,6,6,6,6,0,6,6,6,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,258,351,0,20,0,0,0,0,0,0,0,0,BENIGN
21,3,2,0,14,0,14,0,7,9.899494937,0,0,0,0,4666666.667,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,1,0,0,0,64,0,666666.6667,0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14,7,0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0,0,0,0,0,0,0,0,FTP-Patator
5414,48,2,0,4,0,2,2,2,0,0,0,0,0,83333.33333,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,0,0,0,0,48,0,41666.66667,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,3,2,0,48,0,0,0,0,0,0,2,4,0,0,1024,-1,1,24,0,0,0,0,0,0,0,0,BENIGN
22,11439059,21,32,2008,2745,640,0,95.61904762,140.0451628,976,0,85.78125,220.240592,415.5062055,4.633248242,219981.9038,596106.7045,2331547,3,9853325,492666.25,873926.2616,2401164,477,11400000,368998,739848.3816,2331547,3,0,0,0,0,680,1032,1.835815341,2.797432901,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,0,1,89.67924528,95.61904762,85.78125,680,0,0,0,0,0,0,21,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
53,59594,1,1,85,167,85,85,85,0,167,167,167,0,4228.613619,33.56042555,59594,0,59594,59594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,16.78021277,16.78021277,85,167,112.3333333,47.34272207,2241.333333,0,0,0,0,0,0,0,0,1,168.5,85,167,20,0,0,0,0,0,0,1,85,1,167,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
53,153,2,2,56,88,28,28,28,0,44,44,44,0,941176.4706,26143.79085,51,82.27393269,146,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,40,40,13071.89542,13071.89542,28,44,34.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,43,28,44,40,0,0,0,0,0,0,2,56,2,88,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
443,42,2,0,53,0,53,0,26.5,37.4766594,0,0,0,0,1261904.762,47619.04762,42,0,42,42,42,42,0,42,42,0,0,0,0,0,1,0,0,0,64,0,47619.04762,0,0,53,35.33333333,30.59956427,936.3333333,0,1,0,0,1,0,0,0,0,53,26.5,0,64,0,0,0,0,0,0,2,53,0,0,42000,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
21,246,2,1,14,0,14,0,7,9.899494937,0,0,0,0,56910.56911,12195.12195,123,82.02438662,181,65,246,246,0,246,246,0,0,0,0,0,1,0,0,0,64,20,8130.081301,4065.04065,0,14,7,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7,0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0,0,0,0,0,0,0,0,FTP-Patator
22,12541149,22,32,2008,2745,640,0,91.27272727,138.1821372,976,0,85.78125,220.240592,378.9923874,4.305825567,236625.4528,651766.1406,2716231,3,9782987,465856.5238,842494.0963,2333257,429,12500000,404549.0645,816309.417,2716231,3,0,0,0,0,712,1032,1.754225231,2.551600336,0,976,86.41818182,188.2012015,35419.69226,0,0,0,1,0,0,0,0,1,88.01851852,91.27272727,85.78125,712,0,0,0,0,0,0,22,2008,32,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
80,5952394,3,1,0,0,0,0,0,0,0,0,0,0,0,0.671998527,1984131.333,3436021.326,5951707,126,5952394,2976197,4208006.597,5951707,687,0,0,0,0,0,0,0,0,0,104,40,0.503998895,0.167999632,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � XSS
8080,0,1,1,6,6,6,6,6,0,6,6,6,0,Infinity,Infinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,6,6,6,0,0,0,0,0,0,1,0,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,256,237,0,20,0,0,0,0,0,0,0,0,Bot
55208,11319,3,1,78,0,78,0,26,45.033321,0,0,0,0,6891.068116,353.3881085,3773,6461.530237,11234,4,11319,5659.5,7998.084802,11315,4,0,0,0,0,0,1,0,0,0,60,20,265.0410814,88.34702712,0,78,31.2,42.72235949,1825.2,0,1,0,0,1,0,0,0,0,39,26,0,60,0,0,0,0,0,0,3,78,1,0,33,0,0,20,0,0,0,0,0,0,0,0,BENIGN
444,20,2,0,12,0,6,6,6,0,0,0,0,0,600000,100000,20,0,20,20,20,20,0,20,20,0,0,0,0,0,0,0,0,0,40,0,100000,0,6,6,6,0,0,0,0,0,0,1,1,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,538,-1,1,20,0,0,0,0,0,0,0,0,Infiltration
22,76,1,1,0,0,0,0,0,0,0,0,0,0,0,26315.78947,76,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,13157.89474,13157.89474,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,1240411,3,5,26,11607,20,0,8.666666667,10.26320288,5840,0,2321.4,3173.373883,9378.343146,6.449475214,177201.5714,468362.607,1239348,51,840,420,490.7321061,767,73,1240331,310082.75,619510.262,1239348,51,0,0,0,0,72,112,2.418553205,4.030922009,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
53521,46,1,1,6,6,6,6,6,0,6,6,6,0,260869.5652,43478.26087,46,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,21739.13043,21739.13043,6,6,6,0,0,0,0,0,0,1,1,0,0,1,9,6,6,20,0,0,0,0,0,0,1,6,1,6,1278,256,0,20,0,0,0,0,0,0,0,0,Bot
80,23726,2,0,12,0,6,6,6,0,0,0,0,0,505.7742561,84.29570935,23726,0,23726,23726,23726,23726,0,23726,23726,0,0,0,0,0,0,0,0,0,40,0,84.29570935,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,63891,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,5918917,3,1,0,0,0,0,0,0,0,0,0,0,0,0.675799306,1972972.333,3416513.248,5918022,100,5918917,2959458.5,4184040.627,5918022,895,0,0,0,0,0,0,0,0,0,104,40,0.506849479,0.168949826,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
53,256,2,2,80,452,40,40,40,0,226,226,226,0,2078125,15625,85.33333333,65.53116307,161,47,47,47,0,47,47,48,48,0,48,48,0,0,0,0,40,40,7812.5,7812.5,40,226,114.4,101.8763957,10378.8,0,0,0,0,0,0,0,0,1,143,40,226,40,0,0,0,0,0,0,2,80,2,452,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
444,78233714,48,52,12042,586,1460,0,250.875,422.7945341,267,0,11.26923077,36.2470366,161.4137864,1.278221305,790239.5354,3643348.334,29500000,1,78200000,1664536.872,5176657.015,29500000,4,78200000,1533983.02,4985581.973,29500000,1,0,0,0,0,972,1052,0.613546226,0.664675079,0,1460,125.029703,314.9169241,99172.66911,0,0,0,1,0,0,0,0,1,126.28,250.875,11.26923077,972,0,0,0,0,0,0,48,12042,52,586,8192,538,47,20,2024843.8,3093999.209,7461188,3051,13600000,10200000,29500000,5662979,Infiltration
80,23697,1,1,0,0,0,0,0,0,0,0,0,0,0,84.39886906,23697,0,23697,23697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,42.19943453,42.19943453,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,256,939,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5331736,3,1,0,0,0,0,0,0,0,0,0,0,0,0.750224692,1777245.333,3077524.926,5330865,93,5331736,2665868,3768874.901,5330865,871,0,0,0,0,0,0,0,0,0,104,40,0.562668519,0.187556173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
22,12203077,19,31,2008,2745,640,0,105.6842105,143.7671932,976,0,88.5483871,223.315,389.491929,4.097327256,249042.3878,655323.8218,2404156,4,10700000,592945.1667,979444.6395,2464575,344,12200000,406764.6333,802833.1628,2404156,4,0,0,0,0,616,1000,1.556984357,2.540342899,0,976,93.19607843,193.9302988,37608.96078,0,0,0,1,0,0,0,0,1,95.06,105.6842105,88.5483871,616,0,0,0,0,0,0,19,2008,31,2745,29200,247,16,32,0,0,0,0,0,0,0,0,SSH-Patator
22,54,1,1,0,0,0,0,0,0,0,0,0,0,0,37037.03704,54,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,18518.51852,18518.51852,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
80,128119,3,5,26,11607,20,0,8.666666667,10.26320288,10135,0,2321.4,4413.201989,90798.39836,62.4419485,18302.71429,47909.52468,126950,4,897,448.5,539.522474,830,67,127996,31999,63301.77722,126950,4,0,0,0,0,72,112,23.41573069,39.02621781,0,10135,1292.555556,3350.634907,11200000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
444,48450959,7,8,1959,48,963,6,279.8571429,369.4633173,6,6,6,0,41.42332869,0.309591395,3460782.786,12600000,47200000,42,1211280,201880,469521.0107,1159621,453,48500000,6921524.143,17800000,47200000,714,1,0,0,0,140,160,0.144475984,0.165115411,6,963,129.1875,271.3075054,73607.7625,0,1,0,0,1,0,0,0,1,137.8,279.8571429,6,140,0,0,0,0,0,0,7,1959,8,48,255,1452,6,20,0,0,0,0,0,0,0,0,Infiltration
80,1100165,3,6,26,11601,20,0,8.666666667,10.26320288,5840,0,1933.5,2201.078258,10568.41474,8.180591093,137520.625,384594.239,1089311,20,10045,5022.5,5998.386825,9264,781,1100130,220026,485963.4994,1089311,191,0,0,0,0,72,132,2.726863698,5.453727395,0,5840,1162.7,1918.795458,3681776.011,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
465,3256485,17,24,1330,4520,362,0,78.23529412,85.62967463,1430,0,188.3333333,410.2746341,1796.41546,12.5902622,81412.125,223384.6491,1219039,2,3206542,200408.875,335300.5495,1219039,28680,3207459,139454.7391,299824.8372,1294424,2,0,0,0,0,352,492,5.220352619,7.36990958,0,1430,139.2857143,317.3556354,100714.5993,0,0,0,1,0,0,0,0,1,142.6829268,78.23529412,188.3333333,352,0,0,0,0,0,0,17,1330,24,4520,8192,176,12,20,0,0,0,0,0,0,0,0,BENIGN
1090,60,2,2,4,12,2,2,2,0,6,6,6,0,266666.6667,66666.66667,20,25.51470164,49,1,1,1,0,1,1,49,49,0,49,49,0,0,0,0,48,40,33333.33333,33333.33333,2,6,3.6,2.19089023,4.8,0,0,0,1,0,0,0,0,1,4.5,2,6,48,0,0,0,0,0,0,2,4,2,12,1024,0,1,24,0,0,0,0,0,0,0,0,BENIGN
53,448,1,1,63,132,63,63,63,0,132,132,132,0,435267.8571,4464.285714,448,0,448,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2232.142857,2232.142857,63,132,86,39.83716857,1587,0,0,0,0,0,0,0,0,1,129,63,132,20,0,0,0,0,0,0,1,63,1,132,-1,-1,0,20,0,0,0,0,0,0,0,0,BENIGN
22,106,1,1,0,0,0,0,0,0,0,0,0,0,0,18867.92453,106,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,9433.962264,9433.962264,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
21,9197127,9,15,111,188,23,0,12.33333333,10.03742995,34,0,12.53333333,14.54975045,32.51015236,2.609510557,399875.087,1038117.691,3184607,3,5970666,746333.25,1379594.861,3177787,333,9197065,656933.2143,1281381.002,3184607,3,0,0,0,0,296,488,0.978566459,1.630944098,0,34,11.96,12.77849756,163.29,0,0,0,1,0,0,0,0,1,12.45833333,12.33333333,12.53333333,296,0,0,0,0,0,0,9,111,15,188,29200,227,6,32,0,0,0,0,0,0,0,0,FTP-Patator
80,5006127,4,4,447,530,447,0,111.75,223.5,530,0,132.5,265,195.1608499,1.59804176,715161,1889619.815,5000415,4,5712,1904,2168.235227,4266,4,5005996,1668665.333,2885896.206,5001011,1407,0,0,0,0,136,136,0.79902088,0.79902088,0,530,108.5555556,216.4053552,46831.27778,0,0,0,1,0,0,0,0,1,122.125,111.75,132.5,136,0,0,0,0,0,0,4,447,4,530,29200,235,1,32,0,0,0,0,0,0,0,0,Web Attack � Sql Injection
22,42,1,1,0,0,0,0,0,0,0,0,0,0,0,47619.04762,42,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,23809.52381,23809.52381,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,259,247,0,32,0,0,0,0,0,0,0,0,SSH-Patator
10025,43,1,1,0,6,0,0,0,0,6,6,6,0,139534.8837,46511.62791,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,23255.81395,23255.81395,0,6,2,3.464101615,12,0,0,0,1,0,0,0,0,1,3,0,6,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0,0,0,0,0,0,0,0,PortScan
80,411483,3,5,26,11607,20,0,8.666666667,10.26320288,10220,0,2321.4,4455.182578,28270.91277,19.44187245,58783.28571,154912.493,410091,2,1140,570,581.2417741,981,159,411458,102864.5,204818.3272,410091,2,0,0,0,0,72,112,7.290702168,12.15117028,0,10220,1292.555556,3378.299021,11400000,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0,0,0,0,0,0,0,0,DDoS
80,5720814,3,1,0,0,0,0,0,0,0,0,0,0,0,0.699201198,1906938,3302336.738,5720148,105,5720814,2860407,4044284.507,5720148,666,0,0,0,0,0,0,0,0,0,104,40,0.524400898,0.174800299,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � Brute Force
80,5362052,3,1,0,0,0,0,0,0,0,0,0,0,0,0.745983068,1787350.667,3094051.959,5360054,167,5362052,2681026,3788717.732,5360054,1998,0,0,0,0,0,0,0,0,0,104,40,0.559487301,0.186495767,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � XSS
3827,73,1,1,2,6,2,2,2,0,6,6,6,0,109589.0411,27397.26027,73,0,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,13698.63014,13698.63014,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5,2,6,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0,0,0,0,0,0,0,0,PortScan
80,5510710,3,1,0,0,0,0,0,0,0,0,0,0,0,0.725859281,1836903.333,3180838.289,5509819,125,5510710,2755355,3895400.346,5509819,891,0,0,0,0,0,0,0,0,0,104,40,0.544394461,0.18146482,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack � XSS
443,114375818,17,17,1163,4834,443,0,68.41176471,112.3788563,1430,0,284.3529412,467.7737088,52.43241189,0.297265634,3465933.879,13200000,58200000,1,114000000,7146200.688,18500000,58300000,18,114000000,7146191,18500000,58300000,1,0,0,0,0,352,352,0.148632817,0.148632817,0,1430,171.3428571,348.5111985,121460.0555,0,0,0,1,0,0,0,0,1,176.3823529,68.41176471,284.3529412,352,0,0,0,0,0,0,17,1163,17,4834,8192,360,16,20,222128.3333,15480.575,231302,204255,37900000,28600000,58200000,5179564,BENIGN
